folder	file_name	genus	species	data_source	country	specimen_id	mask_percent	class_1	conf_1	class_2	conf_2	class_3	conf_3	class_4	conf_4	class_5	conf_5
2019 November	DSC_0872.JPG	Moenkhausia	sp. 1	field	Peru	T1-CV2QKANT-07	5.04608154296875	Moenkhausia	99.93	Hemigrammus	0.03	Pygocentrus	0.01	Astyanax	0.01	Pimelodella	0.0
2019 November	DSC_0871.JPG	Hemigrammus	sp. 2	field	Peru	T1-CV2QKANT-06	4.58831787109375	Hemigrammus	99.95	Moenkhausia	0.04	Hyphessobrycon	0.01	Ancistrus	0.0	Tetragonopterus	0.0
2019 November	DSC_0870.JPG	Hemigrammus	sp. 2	field	Peru	T1-CV2QKANT-06	6.00128173828125	Hemigrammus	99.99	Knodus	0.01	Ancistrus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0873.JPG	Moenkhausia	sp. 1	field	Peru	T1-CV2QKANT-07	4.23583984375	Moenkhausia	99.89	Astyanax	0.05	Hemigrammus	0.04	Ancistrus	0.0	Pimelodella	0.0
2019 November	DSC_0874.JPG	Moenkhausia	sp. 1	field	Peru	T1-CV2QKANT-08	3.59344482421875	Hemigrammus	64.93	Moenkhausia	34.23	Astyanax	0.32	Hyphessobrycon	0.16	Pyrrhulina	0.09
2019 November	DSC_0875.JPG	Moenkhausia	sp. 1	field	Peru	T1-CV2QKANT-08	1.8951416015625	Moenkhausia	99.42	Astyanax	0.31	Hemigrammus	0.13	Phenacogaster	0.05	Pyrrhulina	0.04
2019 November	DSC_0876.JPG	Moenkhausia	sp. 1	field	Peru	T1-CV2QKANT-09	1.8524169921875	Moenkhausia	98.5	Hemigrammus	0.88	Astyanax	0.27	Pyrrhulina	0.07	Bujurquina	0.06
2019 November	DSC_0878.JPG	Apistogramma	cacatuoides	field	Peru	T1-CV2QKANT-10	3.51715087890625	Apistogramma	99.45	Ancistrus	0.26	Bujurquina	0.24	Oxyropsis	0.03	Tetragonopterus	0.0
2019 November	DSC_0879.JPG	Apistogramma	cacatuoides	field	Peru	T1-CV2QKANT-10	4.23736572265625	Apistogramma	99.24	Bujurquina	0.38	Ancistrus	0.32	Corydoras	0.03	Otocinclus	0.01
2019 November	DSC_0877.JPG	Moenkhausia	sp. 1	field	Peru	T1-CV2QKANT-09	2.35748291015625	Moenkhausia	99.59	Hemigrammus	0.2	Astyanax	0.1	Hyphessobrycon	0.03	Pyrrhulina	0.02
2019 November	DSC_0880.JPG	Chrysobrycon	hesperus	field	Peru	T1-CV2QKANT-11	5.45806884765625	Knodus	99.52	Creagrutus	0.09	Curimata	0.08	Otocinclus	0.07	Hemigrammus	0.07
2019 November	DSC_0881.JPG	Chrysobrycon	hesperus	field	Peru	T1-CV2QKANT-11	5.03082275390625	Knodus	53.47	Hemigrammus	43.62	Moenkhausia	0.9	Curimata	0.64	Creagrutus	0.3
2019 November	DSC_0882.JPG	Corydoras	aeneus	field	Peru	T1-CV2QKANT-12	9.0789794921875	Corydoras	99.99	Ancistrus	0.0	Pimelodella	0.0	Knodus	0.0	Moenkhausia	0.0
