family,genus,specificEpithet,country,catalogNumber,IndivID,Camera,photoID,id
Pimelodidae,Calophysus,macropterus,Brazil,376340,2,Coolpix B500,DSCN0272.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,3,Coolpix B500,DSCN0273.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,3,Coolpix B500,DSCN0274.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,3,Coolpix B500,DSCN0275.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,3,Coolpix B500,DSCN0276.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403714,1,W100,DSCN0584.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403714,1,W100,DSCN0585.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403714,1,W100,DSCN0586.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403714,1,Coolpix B500,DSCN0001.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403714,1,Coolpix B500,DSCN0002.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403714,1,Coolpix B500,DSCN0003.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403715,1,W100,DSCN0587.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403715,1,W100,DSCN0588.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403715,1,Coolpix B500,DSCN0004.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403715,1,Coolpix B500,DSCN0005.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,309215,1,W100,DSCN0589.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,309215,1,W100,DSCN0590.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,309215,1,W100,DSCN0591.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,309215,1,Coolpix B500,DSCN0006.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,309215,1,Coolpix B500,DSCN0007.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,309215,1,Coolpix B500,DSCN0008.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,270341,1,W100,DSCN0592.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,270341,1,W100,DSCN0593.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,270341,1,Coolpix B500,DSCN0009.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,270341,1,Coolpix B500,DSCN0010.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Peru,280451,1,W100,DSCN0594.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Peru,280541,1,W100,DSCN0595.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Peru,280541,1,Coolpix B500,DSCN0011.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Peru,280541,1,Coolpix B500,DSCN0012.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,1,W100,DSCN0596.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,1,W100,DSCN0597.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,1,Coolpix B500,DSCN0013.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,1,Coolpix B500,DSCN0014.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,2,W100,DSCN0598.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,2,W100,DSCN0599.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,2,Coolpix B500,DSCN0015.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,2,Coolpix B500,DSCN0016.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,3,W100,DSCN0600.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,3,W100,DSCN0601.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,3,Coolpix B500,DSCN0017.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Brazil,191563,3,Coolpix B500,DSCN0018.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403708,1,W100,DSCN0602.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403708,1,W100,DSCN0603.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403708,1,Coolpix B500,DSCN0019.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403708,1,Coolpix B500,DSCN0020.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403709,1,W100,DSCN0604.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403709,1,W100,DSCN0605.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403709,1,Coolpix B500,DSCN0021.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,403709,1,Coolpix B500,DSCN0022.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,66208,1,W100,DSCN0606.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,66208,1,W100,DSCN0607.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,66208,1,Coolpix B500,DSCN0023.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Guyana,66208,1,Coolpix B500,DSCN0024.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,226266,1,W100,DSCN0608.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,226266,1,W100,DSCN0609.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,226266,1,Coolpix B500,DSCN0025.JPG,
Ctenoluciidae,Boulengerella,cuvieri,Venezuela,226266,1,Coolpix B500,DSCN0026.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306921,1,W100,DSCN0610.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306921,1,W100,DSCN0611.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306921,1,Coolpix B500,DSCN0027.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306921,1,Coolpix B500,DSCN0028.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306868,1,W100,DSCN0612.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306868,1,W100,DSCN0613.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306868,1,Coolpix B500,DSCN0029.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306868,1,Coolpix B500,DSCN0030.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306868,2,W100,DSCN0614.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306868,2,W100,DSCN0615.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306868,2,Coolpix B500,DSCN0031.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306868,2,Coolpix B500,DSCN0032.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Peru,264073,1,W100,DSCN0616.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Peru,264073,1,W100,DSCN0617.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Peru,264073,1,Coolpix B500,DSCN0033.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Peru,264073,1,Coolpix B500,DSCN0034.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Suriname,302005,1,W100,DSCN0618.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Suriname,302005,1,W100,DSCN0619.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Suriname,302005,1,Coolpix B500,DSCN0035.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Suriname,302005,1,Coolpix B500,DSCN0036.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306878,1,W100,DSCN0620.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306878,1,W100,DSCN0621.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306878,1,Coolpix B500,DSCN0037.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306878,1,Coolpix B500,DSCN0038.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306904,1,W100,DSCN0622.JPG,
Hypopomidae,Brachyhypopomus,brevirostris,Brazil,306904,1,W100,DSCN0623.JPG,
