ID 1,ID 2,Codigo foto 2,Genero
DSC_1205,DSC_1206,,Knodus
DSC_1207,DSC_1208,,Knodus
DSC_1209,DSC_1210,,Phenacogaster
DSC_1211,DSC_1212,,Knodus
DSC_1213,DSC_1214,,Microschemobrycon
DSC_1215,DSC_1216,,Hemigrammus
DSC_1217,DSC_1218,,Microschemobrycon
DSC_1219,DSC_1220,,Knodus
DSC_1221,DSC_1222,,Brachychalcinus
DSC_1223,DSC_1224,,Phenacogaster
DSC_1225,DSC_1226,,Bujurquina
DSC_1227,DSC_1228,,Knodus
DSC_1229,DSC_1230,,Knodus
DSC_1231,DSC_1232,,Creagrutus
DSC_1233,DSC_1234,,Characidium
DSC_1235,DSC_1236,,Crenicichla
DSC_1237,DSC_1238,,Creagrutus
DSC_1239,DSC_1240,,Creagrutus
DSC_1241,DSC_1242,,Creagrutus
DSC_1243,DSC_1244,,Crenicichla
DSC_1245,DSC_1246,,Bujurquina
DSC_1247,DSC_1248,,Creagrutus
DSC_1249,DSC_1250,,Lasiancistrus
DSC_1251,DSC_1252,,Limatulichtys
DSC_1253,DSC_1254,,Bryconops
DSC_1255,DSC_1256,,Pimelodella
DSC_1257,DSC_1258,,Creagrutus
DSC_1259,DSC_1260,,Bujurquina
DSC_1261,DSC_1262,,Farlowella
DSC_1263,DSC_1264,,Knodus
DSC_1265,DSC_1266,,Bujurquina
DSC_1267,DSC_1268,,Creagrutus
DSC_1269,DSC_1270,,Otocinclus
DSC_1271,DSC_1272,,Knodus
DSC_1273,DSC_1274,,Farlowella
DSC_1275,DSC_1276,,Creagrutus
DSC_1277,DSC_1278,,Crenicichla
DSC_1279,DSC_1280,,Imparfinis
DSC_1281,DSC_1282,,Knodus
DSC_1283,DSC_1284,,Knodus
DSC_1285,DSC_1286,,Apistogramma
DSC_1287,DSC_1288,,Creagrutus
DSC_1289,DSC_1290,,Knodus
DSC_1291,DSC_1292,,Characidium
DSC_1293,DSC_1294,,Bujurquina
DSC_1295,DSC_1296,,Creagrutus
DSC_1297,DSC_1298,,Characidium
DSC_1299,DSC_1300,,Rineloricaria
DSC_1301,DSC_1302,,Characidium
DSC_1303,DSC_1304,,Knodus
DSC_1305,DSC_1306,,Characidium
DSC_1307,DSC_1308,,Otocinclus
DSC_1309,DSC_1310,,Otocinclus
DSC_1311,DSC_1312,,Microschemobrycon
DSC_0792,,DSC_0793,Crenicichla
DSC_0794,,DSC_0795,Leporinus
DSC_0796,,DSC_0797,Hoplias
DSC_0798,,DSC_0799,Hoplias
DSC_0800,,DSC_0801,Hoplias
DSC_0802,,DSC_0803,Hoplias
DSC_0800,,DSC_0803,Steindachnerina
DSC_1083,,DSC_1084,Hoplias
DSC_1085,,DSC_1086,Serrasalmus
DSC_1087,,DSC_1088,Rhytiodus
DSC_1089,,DSC_1090,Hoplias
DSC_1091,,DSC_1092,Hoplias
DSC_1093,,DSC_1094,Hoplias
DSC_1095,,DSC_1096,Loricaria
DSC_1185,,DSC_1186,Hoplias
DSC_1187,,DSC_1188,Leporinus
DSC_1189,,DSC_1190,Hoplias
DSC_1191,,DSC_1192,Acestrorhynchus
DSC_1313,,DSC_1316,Pterygoplichthys
DSC_1313,,DSC_1317,Pterygoplichthys
